Date,Open,High,Low,Close,Adj Close,Volume
27-05-2021,126.440002,127.639999,125.080002,125.279999,125.092575,94625600
28-05-2021,125.57,125.800003,124.550003,124.610001,124.423584,71311100
01-06-2021,125.080002,125.349998,123.940002,124.279999,124.09407,67637100
02-06-2021,124.279999,125.239998,124.050003,125.059998,124.872902,59278900
03-06-2021,124.68,124.849998,123.129997,123.540001,123.355186,76229200
04-06-2021,124.07,126.160004,123.849998,125.889999,125.701668,75169300
07-06-2021,126.169998,126.32,124.830002,125.900002,125.711655,71057600
08-06-2021,126.599998,128.460007,126.209999,126.739998,126.550392,74403800
09-06-2021,127.209999,127.75,126.519997,127.129997,126.939812,56877900
10-06-2021,127.019997,128.190002,125.940002,126.110001,125.921341,71186400
11-06-2021,126.529999,127.440002,126.099998,127.349998,127.159477,53522400
14-06-2021,127.82,130.539993,127.07,130.479996,130.28479,96906500
15-06-2021,129.940002,130.600006,129.389999,129.639999,129.44606,62746300
16-06-2021,130.369995,130.889999,128.460007,130.149994,129.955292,91815000
17-06-2021,129.800003,132.550003,129.649994,131.789993,131.592834,96721700
18-06-2021,130.710007,131.509995,130.240005,130.460007,130.264832,108953300
21-06-2021,130.300003,132.410004,129.210007,132.300003,132.102081,79663300
22-06-2021,132.130005,134.080002,131.619995,133.979996,133.779556,74783600
23-06-2021,133.770004,134.320007,133.229996,133.699997,133.499985,60214200
24-06-2021,134.449997,134.639999,132.929993,133.410004,133.210419,68711000
25-06-2021,133.460007,133.889999,132.809998,133.110001,132.910873,70783700
28-06-2021,133.410004,135.25,133.350006,134.779999,134.578369,62111300
29-06-2021,134.800003,136.490005,134.350006,136.330002,136.126053,64556100
30-06-2021,136.169998,137.410004,135.869995,136.960007,136.755112,63261400
01-07-2021,136.600006,137.330002,135.759995,137.270004,137.064651,52485800
02-07-2021,137.899994,140,137.75,139.960007,139.750626,78852600
06-07-2021,140.070007,143.149994,140.070007,142.020004,141.807541,108181800
07-07-2021,143.539993,144.889999,142.660004,144.570007,144.353729,104911600
08-07-2021,141.580002,144.059998,140.669998,143.240005,143.025711,105575500
09-07-2021,142.75,145.649994,142.649994,145.110001,144.892914,99890800
12-07-2021,146.210007,146.320007,144,144.5,144.283829,76299700
